id,title,intervention_name,summary,public_summary,link,citation,program_success,city,geography,region,source_type,race,intervention_goal,implementers,scale,country,program_components,population,status
138,Anyone. Anytime. Public Education Campaign,Public Awareness Campaign,"In response to the opioid crisis in New Hampshire, the state has created the Anyone. Anytime. Campaign to educate the public and professionals about addiction, emergency overdose medication and accessibility to support services for those experiencing opioid addiction. This campaign is designed to help anyone affected by this crisis including: people experiencing addiction; parents, family and friends of those experiencing addiction; and health care, safety, and other system staff working with people who may be experiencing addiction.","In response to the opioid crisis in New Hampshire, the state has created the Anyone. Anytime. Campaign to educate the public and professionals about addiction, emergency overdose medication and accessibility to support services for those experiencing opioid addiction. This campaign is designed to help anyone affected by this crisis including: people experiencing addiction; parents, family and friends of those experiencing addiction; and health care, safety, and other system staff working with people who may be experiencing addiction.",https://anyoneanytimenh.org,"Anyone.Anytime. NH (n.d.). Retrieved July 21, 2018, from https://anyoneanytimenh.org/",No Evaluation,,NH,General,Community Example,,"Prevention,Harm Reduction","State Officials,Community Officials",,,"Naloxone,Communication",General,APPROVED
139,Centers for Disease Control and Prevention's Rx Awareness Campaign ,Public Awareness Campaign,"To raise awareness of prescription opioid abuse and overdose, in 2017 the Centers for Disease Control and Prevention (CDC) launched Rx Awareness, its first prescription opioid overdose prevention campaign. The Rx Awareness campaign is evidence-driven and tells the real stories of people whose lives were torn apart by opioid use and abuse. The Rx Awareness campaign focuses on adults ages 25–54 who have taken opioids at least once for medical or non-medical (recreational) use, and it highlights the importance of reducing opioid abuse to prevent overdoses. ","To raise awareness of prescription opioid abuse and overdose, in 2017 the Centers for Disease Control and Prevention (CDC) launched Rx Awareness, its first prescription opioid overdose prevention campaign. The Rx Awareness campaign is evidence-driven and tells the real stories of people whose lives were torn apart by opioid use and abuse. The Rx Awareness campaign focuses on adults ages 25–54 who have taken opioids at least once for medical or non-medical (recreational) use, and it highlights the importance of reducing opioid abuse to prevent overdoses. ",https://www.cdc.gov/rxawareness/pdf/Overview-Rx-Awareness-Resources.pdf,"Addressing the prescription opioid crisis--CDC Rx Awareness Campaign Overview. (2017). Centers for Disease Control and Prevention. Retrieved July 21, 2018, from https://www.cdc.gov/rxawareness/pdf/Overview-Rx-Awareness-Resources.pdf",No Evaluation,,"OH,OR,RI,WV",General,Report,,"Prevention,Harm Reduction",Federal Officials,"State,Federal",Domestic,Communication,Adults,APPROVED
140,State‐Level Strategies for Reducing Prescription Drug Overdose Deaths: Utah's Prescription Safety Program,Public Awareness Campaigns,"Abstract: ""The Utah Department of Health created a program to decrease deaths and other harm from prescription pain medication. Program goals included educating the public, providers, and patients on prescription safety and creating guidelines for providers on prescribing opioids. The department's Prescription Pain Medication Program was organized in collaboration with many state agencies as well as public and private organizations. The program developed a statewide media campaign, running messages using the slogan “Use Only As Directed” from May 2008 to May 2009. The program facilitated the publication and distribution of opioid prescribing guidelines. The state‐funded educational campaign may have contributed to a reduction in overdose deaths. Collaboration among state agencies and a sustained educational effort are important aspects of a successful prevention campaign. Program Outcomes. Collaboration among stakeholders to develop educational materials furthered use of the materials. The program distributed more than 2,800 copies of the prescribing guidelines and more than 120,000 copies of print materials, including bookmarks, patient information cards, and posters. Results: In 2008, unintentional overdose deaths from prescription opioids dropped 14.0% compared with the number of deaths in 2007. In 2009, the number of deaths remained stable from 2008. The campaign funding ended in May 2009. State agencies have continued collaborating and have pooled money to renew the media campaign in 2011. Evaluation of the impact of the prescribing guidelines is ongoing. Conclusions. The state-funded educational campaign may have contributed to a reduction in overdose deaths. Collaboration among state agencies and a sustained educational effort are important aspects of a successful prevention campaign.""","Abstract: ""The Utah Department of Health created a program to decrease deaths and other harm from prescription pain medication. Program goals included educating the public, providers, and patients on prescription safety and creating guidelines for providers on prescribing opioids. The department's Prescription Pain Medication Program was organized in collaboration with many state agencies as well as public and private organizations. The program developed a statewide media campaign, running messages using the slogan “Use Only As Directed” from May 2008 to May 2009. The program facilitated the publication and distribution of opioid prescribing guidelines. The state‐funded educational campaign may have contributed to a reduction in overdose deaths. Collaboration among state agencies and a sustained educational effort are important aspects of a successful prevention campaign. Program Outcomes. Collaboration among stakeholders to develop educational materials furthered use of the materials. The program distributed more than 2,800 copies of the prescribing guidelines and more than 120,000 copies of print materials, including bookmarks, patient information cards, and posters. Results: In 2008, unintentional overdose deaths from prescription opioids dropped 14.0% compared with the number of deaths in 2007. In 2009, the number of deaths remained stable from 2008. The campaign funding ended in May 2009. State agencies have continued collaborating and have pooled money to renew the media campaign in 2011. Evaluation of the impact of the prescribing guidelines is ongoing. Conclusions. The state-funded educational campaign may have contributed to a reduction in overdose deaths. Collaboration among state agencies and a sustained educational effort are important aspects of a successful prevention campaign.""",https://doi-org.proxygw.wrlc.org/10.1111/j.1526-4637.2011.01126.x,"Johnson, E. M., Porucznik, C. A., Anderson, J. W., & Rolfs, R. T. (2011). State-level strategies for reducing prescription drug overdose deaths: Utah's prescription safety program. Pain Medicine, 12(suppl_2), S66-S72.",Significant Improvement,,UT,Not Specified,Published Literature,,Prevention,State Officials,State,Domestic,Communication,General,APPROVED
141,Prescription Drug Abuse Prevention Digital Course ,Youth Education Program,"""Prescription Drug Safety is an innovative digital course that arms high school students with the knowledge and tools to make healthy, informed decisions when it comes to prescription medications including opioids, stimulants, and depressants. Through interactive scenarios and self-guided activities, students learn about a range of topics, including the science of addiction, how to properly use and dispose of prescription drugs, and how to intervene when faced with a situation involving drug misuse.""","""Prescription Drug Safety is an innovative digital course that arms high school students with the knowledge and tools to make healthy, informed decisions when it comes to prescription medications including opioids, stimulants, and depressants. Through interactive scenarios and self-guided activities, students learn about a range of topics, including the science of addiction, how to properly use and dispose of prescription drugs, and how to intervene when faced with a situation involving drug misuse.""",https://everfi.com/offerings/listing/prescription-drug-abuse-prevention/,"Everfi, Inc. (2018). Prescription Drug Abuse Prevention. ",No Evaluation,,State(s) Not Specified,General,Other,General Population,Prevention,Schools,Community,Domestic,Online Educational Course,Youth,REVOKED
143,Collaborative Opioid Prescribing Education (COPE) (NREPP Endorsement),Other,"The Collaborative Opioid Prescribing Education (COPE) program is an online training course designed to increase physicians knowledge, competence, and satisfaction in using opioid medications to manage patients chronic noncancer pain. COPE is based on the chronic care model, in which healthcare providers and patients make treatment decisions collaboratively to achieve positive health outcomes. COPE teaches physicians communication skills for physicianpatient goal setting in relation to starting, stopping, or continuing opioid therapy. (SAMHSA, n.d.)","The Collaborative Opioid Prescribing Education (COPE) program is an online training course designed to increase physicians knowledge, competence, and satisfaction in using opioid medications to manage patients chronic noncancer pain. COPE is based on the chronic care model, in which healthcare providers and patients make treatment decisions collaboratively to achieve positive health outcomes. COPE teaches physicians communication skills for physicianpatient goal setting in relation to starting, stopping, or continuing opioid therapy. (SAMHSA, n.d.)",https://nrepp.samhsa.gov/ProgramProfile.aspx?id=1259#hide4,"Substance Abuse and Mental Health Services Administration. (SAMHSA). (n.d.). Collaborative Opioid Prescribing Education (COPE). Retrieved July 13, 2016, from https://nrepp.samhsa.gov/ProgramProfile.aspx?id=1259#hide4  ",Clearinghouse Endorsement,,State(s) Not Specified,Not Specified,Clearinghouse,Not Specified,Prevention,Health Care Providers,Community,Domestic,Physician Education,Adults,APPROVED
144,Emergency Department–Initiated Buprenorphine/Naloxone Treatment for Opioid Dependence,Offering Pharmacotherapy to High Risk Individuals at the ER,"Abstract: ""The purpose of this study was to test the efficacy of 3 interventions for opioid dependence: (1) screening and referral to treatment (referral); (2) screening, brief intervention, and facilitated referral to community-based treatment services (brief intervention); and (3) screening, brief intervention, ED-initiated treatment with buprenorphine/naloxone, and referral to primary care for 10-week follow-up (buprenorphine).

Among opioid-dependent patients, ED-initiated buprenorphine treatment vs brief intervention and referral significantly increased engagement in addiction treatment, reduced self-reported illicit opioid use, and decreased use of inpatient addiction treatment services but did not significantly decrease the rates of urine samples that tested positive for opioids or of HIV risk. These findings require replication in other centers before widespread adoption.""","Abstract: ""The purpose of this study was to test the efficacy of 3 interventions for opioid dependence: (1) screening and referral to treatment (referral); (2) screening, brief intervention, and facilitated referral to community-based treatment services (brief intervention); and (3) screening, brief intervention, ED-initiated treatment with buprenorphine/naloxone, and referral to primary care for 10-week follow-up (buprenorphine).

Among opioid-dependent patients, ED-initiated buprenorphine treatment vs brief intervention and referral significantly increased engagement in addiction treatment, reduced self-reported illicit opioid use, and decreased use of inpatient addiction treatment services but did not significantly decrease the rates of urine samples that tested positive for opioids or of HIV risk. These findings require replication in other centers before widespread adoption.""",https://dx.doi.org/10.1001/jama.2015.3474,"D’onofrio, G., O’connor, P. G., Pantalon, M. V., Chawarski, M. C., Busch, S. H., Owens, P. H., ... & Fiellin, D. A. (2015). Emergency department–initiated buprenorphine/naloxone treatment for opioid dependence: a randomized clinical trial. Jama, 313(16), 1636-1644.",Significant Improvement,,CT,Urban,Published Literature,,"Harm Reduction,Treatment",Health Care Providers,Community,Domestic,"Medication Assisted Treatment,Pharmacotherapy",Adults,APPROVED
145,Factors Associated with Treatment Outcomes in an Aftercare Population,Other,"Abstract: ""This study examined six‐month outcomes for 194 criminal justice clients exiting outpatient drug‐free treatment and assigned to aftercare or standard treatment. It compared sub‐samples of those achieving positive (n = 111) and negative outcomes (n = 59), as defined by drug and alcohol use and arrests. Psychological variables and attendance at religious services distinguished significantly between groups. Predictor variables developed from that comparison were employed in logistic regression analyses making use of the full sample. Aftercare was found to be particularly significant for reduction in drug use, with optimism/pessimism about one's future and religious observance also significant predictors for substance use.""","Abstract: ""This study examined six‐month outcomes for 194 criminal justice clients exiting outpatient drug‐free treatment and assigned to aftercare or standard treatment. It compared sub‐samples of those achieving positive (n = 111) and negative outcomes (n = 59), as defined by drug and alcohol use and arrests. Psychological variables and attendance at religious services distinguished significantly between groups. Predictor variables developed from that comparison were employed in logistic regression analyses making use of the full sample. Aftercare was found to be particularly significant for reduction in drug use, with optimism/pessimism about one's future and religious observance also significant predictors for substance use.""",https://doi-org.proxygw.wrlc.org/10.1080/10550490490512780,"Brown, B. S., O'Grady, K., Battjes, R. J., & Farrell, E. V. (2004). Factors associated with treatment outcomes in an aftercare population. American Journal on Addictions, 13(5), 447-460.",Significant Improvement,Baltimore,MD,Urban,Published Literature,,"Treatment,Recovery","Health Care Providers,Police,Faith Communities",Community,Domestic,"Medication Assisted Treatment,Behavioral,Recovery Program",Adults,REJECTED
146,Recovery and Training Self Help (RTSH) for Opioid Use,Recovery Programs and Support Groups,"Abstract: ""The efficacy of a group relapse prevention program, Recovery Training and Self-help (RTSH), was investigated experimentally with opioid addicts in New England and Hong Kong. The experimental program featured weekly attendance at a professionally led recovery-training session, a peer-led self-help style meeting and a weekend recreational activity. Researchers randomly assigned newly recovering opioid addicts (N=168) to experimental and control conditions, and followed them to assess their outcomes; 98% provided follow-up data. The intervention significantly reduced the probability and extent of relapse and helped unemployed subjects find work. RTSH also significantly reduced self-reported criminality. These findings suggest that relapse prevention programs can be effective in helping opioid addicts achieve long-term recovery.""","Abstract: ""The efficacy of a group relapse prevention program, Recovery Training and Self-help (RTSH), was investigated experimentally with opioid addicts in New England and Hong Kong. The experimental program featured weekly attendance at a professionally led recovery-training session, a peer-led self-help style meeting and a weekend recreational activity. Researchers randomly assigned newly recovering opioid addicts (N=168) to experimental and control conditions, and followed them to assess their outcomes; 98% provided follow-up data. The intervention significantly reduced the probability and extent of relapse and helped unemployed subjects find work. RTSH also significantly reduced self-reported criminality. These findings suggest that relapse prevention programs can be effective in helping opioid addicts achieve long-term recovery.""",https://doi.org/10.1080/02791072.1990.10472544,"McAuliffe, W. E. (1990). A randomized controlled trial of recovery training and self-help for opioid addicts in New England and Hong Kong. Journal of Psychoactive Drugs, 22(2), 197-209.",Significant Improvement,,,Not Specified,Published Literature,,Recovery,"Mental Health Care Providers,Recovery Community",Community,"Domestic,International","Behavioral,Mental Health,Recovery Program,Peer-Support",Adults,REVOKED
147,Abstinence‐Contingent Recovery Housing and Reinforcement‐Based Treatment Following Opioid Detoxification,Other,"Abstract: ""The goal of this study is to conduct a randomized, controlled trial of abstinence‐contingent recovery housing delivered with or without intensive day treatment among individuals exiting residential opioid detoxification. 
The findings suggest that abstinence‐contingent recovery housing improves abstinence in opioid‐dependent adults following medication‐assisted detoxification. The addition of intensive ‘reinforcement‐based treatment’ behavioural counseling further improves treatment outcomes, in part by promoting longer recovery house stays.""","Abstract: ""The goal of this study is to conduct a randomized, controlled trial of abstinence‐contingent recovery housing delivered with or without intensive day treatment among individuals exiting residential opioid detoxification. 
The findings suggest that abstinence‐contingent recovery housing improves abstinence in opioid‐dependent adults following medication‐assisted detoxification. The addition of intensive ‘reinforcement‐based treatment’ behavioural counseling further improves treatment outcomes, in part by promoting longer recovery house stays.""",https://doi-org.proxygw.wrlc.org/10.1111/j.1360-0443.2011.03750.x,"Tuten, M., DeFulio, A., Jones, H. E., & Stitzer, M. (2012). Abstinence‐contingent recovery housing and reinforcement‐based treatment following opioid detoxification. Addiction, 107(5), 973-982.",Significant Improvement,Baltimore,MD,Urban,Published Literature,Black or African American,"Treatment,Recovery",Health Care Providers,Community,Domestic,"Medication Assisted Treatment,Behavioral,Mental Health,Recovery Program",Adults,REJECTED
148,The North Carolina Disposal Initiative ,Drug Disposal Programs,"As part of Project Lazarus, The North Carolina Disposal Initiative's goal  is to increase awareness, knowledge, and behaviors surrounding prescription medications and appropriate disposal methods. To do this, the program will increased placement, availability, and utilization of permanent medication drop-boxes in law enforcement and pharmacies/clinics is recommended. ","As part of Project Lazarus, The North Carolina Disposal Initiative's goal  is to increase awareness, knowledge, and behaviors surrounding prescription medications and appropriate disposal methods. To do this, the program will increased placement, availability, and utilization of permanent medication drop-boxes in law enforcement and pharmacies/clinics is recommended. ",https://www.projectlazarus.org/ncdi,"Project Pill Drop. (n.d.). Retrieved July 21, 2018, from https://www.projectlazarus.org/ncdi",No Evaluation,,NC,General,Community Example,,Prevention,"Health Care Providers,State Officials,Police",Community,Domestic,Prescription Drug Disposal,General,APPROVED
149,"Vermont Hub-and-Spoke Model of Care for Opioid Use Disorder: Development, Implementation, and Impact",Hub and Spoke Model,"Abstract: ""Background: Opioid use disorders (OUDs) are reaching epidemic proportions in the United States, and many geographic areas struggle with a persistent shortage in availability of opioid agonist treatment. Over the past 5 years, Vermont addiction medicine physicians and public health leaders have responded to these challenges by developing an integrated hub-and-spoke opioid treatment network. Methods: In the present report, we review the development, implementation, and impact of this novel hub-and-spoke model for expanding OUD treatment in Vermont. Results: Vermont’s hub-and-spoke system has been implemented state-wide and well-received by providers and patients alike. Adoption of this model has been associated with substantial increases in the state’s OUD treatment capacity, with Vermont now having the highest capacity for treating OUD in the United States with 10.56 people in treatment per 1000. There has been a 64% increase in physicians waivered to prescribe buprenorphine, a 50% increase in patients served per waivered physician, and a robust bidirectional transfer of patients between hubs and spokes based upon clinical need. Challenges to system implementation and important future directions are discussed. Conclusions: Development and implementation of a hub-and-spoke system of care has contributed substantially to improvements in opioid agonist treatment capacity in Vermont. This system may serve as a model for other states grappling with the current opioid use epidemic.""","Abstract: ""Background: Opioid use disorders (OUDs) are reaching epidemic proportions in the United States, and many geographic areas struggle with a persistent shortage in availability of opioid agonist treatment. Over the past 5 years, Vermont addiction medicine physicians and public health leaders have responded to these challenges by developing an integrated hub-and-spoke opioid treatment network. Methods: In the present report, we review the development, implementation, and impact of this novel hub-and-spoke model for expanding OUD treatment in Vermont. Results: Vermont’s hub-and-spoke system has been implemented state-wide and well-received by providers and patients alike. Adoption of this model has been associated with substantial increases in the state’s OUD treatment capacity, with Vermont now having the highest capacity for treating OUD in the United States with 10.56 people in treatment per 1000. There has been a 64% increase in physicians waivered to prescribe buprenorphine, a 50% increase in patients served per waivered physician, and a robust bidirectional transfer of patients between hubs and spokes based upon clinical need. Challenges to system implementation and important future directions are discussed. Conclusions: Development and implementation of a hub-and-spoke system of care has contributed substantially to improvements in opioid agonist treatment capacity in Vermont. This system may serve as a model for other states grappling with the current opioid use epidemic.""",http://dx.doi.org/10.1097/ADM.0000000000000310,"Brooklyn, J. R., & Sigmon, S. C. (2017). Vermont hub-and-spoke model of care for opioid use disorder: development, implementation, and impact. Journal of addiction medicine, 11(4), 286.",Significant Improvement,,VT,"Urban,Rural,Suburban,General",Published Literature,,"Treatment,Recovery","Health Care Providers,State Officials","Community,State",Domestic,"Medication Assisted Treatment,Behavioral,Mental Health",General,APPROVED
150,The Opioid Epidemic: From Evidence to Impact ,Other,"This report is intended as a resource for policymakers; clinicians who prescribe opioids and those who treat people with opioid use disorders; people with opioid-use disorders and their families; researchers; journalists; law enforcement officials; health system administrators; employers; service providers and agencies at the local, state, and federal levels; community organizations; and members of the general public. It provides guidance for those who are searching for solutions to address the unacceptable toll of opioid-use disorders in the United States as well as ways to reduce prescription opioid overuse and to maximize the quality of care for those with pain.","This report is intended as a resource for policymakers; clinicians who prescribe opioids and those who treat people with opioid use disorders; people with opioid-use disorders and their families; researchers; journalists; law enforcement officials; health system administrators; employers; service providers and agencies at the local, state, and federal levels; community organizations; and members of the general public. It provides guidance for those who are searching for solutions to address the unacceptable toll of opioid-use disorders in the United States as well as ways to reduce prescription opioid overuse and to maximize the quality of care for those with pain.",https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,"The opioid epidemic: From evidence to impact. (2017). Johns Hopkins University. Retrieved July 21, 2018, from https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf",,,,,Report,,,,,Domestic,,General,REJECTED
151,Waiver for clinics that provide evidence-based models of care,Medication Assisted Treatment Related Programs & Policies," Provide waiver from patient caps for buprenorphine treatment for clinics that implement evidence-based models of care. N/A , N/A"," Provide waiver from patient caps for buprenorphine treatment for clinics that implement evidence-based models of care. N/A , N/A",https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,,,,,Report,,Treatment,Health Care Providers,,,Policy,General,REJECTED
152,FQHCs to use Buprenorphine,Medication Assisted Treatment Related Programs & Policies,"Require FQHCs to provide buprenorphine. N/A , N/A","Require FQHCs to provide buprenorphine. N/A , N/A",https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,,,,,Report,,Treatment,Health Care Providers,,,"Medication Assisted Treatment,Policy",General,REJECTED
153,Improved monitoring,Prescription Drug Monitoring Programs,"Improve monitoring of pharmacies, prescribers and beneficiaries. N/A , N/A","Improve monitoring of pharmacies, prescribers and beneficiaries. N/A , N/A",https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,,,,,Report,,Prevention,Health Care Providers,,,"Epidemiological Surveillance,Prescription Drug Epidemiological Surveillance Program",General,REJECTED
154,Improved coverage for pain management models,Other,"Improve formulary coverage and reimbursement for non-opioid/pharmacological treatments and for different pain management models. N/A , N/A","Improve formulary coverage and reimbursement for non-opioid/pharmacological treatments and for different pain management models. N/A , N/A",https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,,,,,Report,,Prevention,Health Care Providers,,,Policy,General,REJECTED
155,Funding for distribution of naloxone,Community Distribution of Naloxone,"Help community-based distributors of naloxone find stable funding. N/A , N/A","Help community-based distributors of naloxone find stable funding. N/A , N/A",https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,,,,,Report,,Harm Reduction,"Community Officials,State Officials,Federal Officials",,,Naloxone,General,REJECTED
156,Guidance and expansion of take-back programs,Drug Disposal Programs,"Provide clear and consistent guidance for safe disposal and expand take-back programs. N/A , N/A","Provide clear and consistent guidance for safe disposal and expand take-back programs. N/A , N/A",https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,,,,,Report,,Prevention,"State Officials,Federal Officials",,,"Policy,Training",General,REJECTED
157,Third-party payers accessing PDMP data,Prescription Drug Monitoring Programs,"Authorize third-party payers to access PDMP data with a plan for appropriate use and proper protections. N/A , N/A","Authorize third-party payers to access PDMP data with a plan for appropriate use and proper protections. N/A , N/A",https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,,,,,Report,,Prevention,"Health Care Providers,State Officials",,,"Epidemiological Surveillance,Prescription Drug Epidemiological Surveillance Program",General,REJECTED
158,Incentivize outcome inforMedication Assisted Treatmention for programs,Other,"Use federal funding to incentivize inclusion of outcome inforMedication Assisted Treatmention in funded programs. N/A , N/A","Use federal funding to incentivize inclusion of outcome inforMedication Assisted Treatmention in funded programs. N/A , N/A",https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,,,,,Report,,"Prevention,Treatment","State Officials,Federal Officials",,,Policy,General,REJECTED
159,Packaging designs,Other,"Get funding to assess effectiveness of new packaging designs. N/A , N/A","Get funding to assess effectiveness of new packaging designs. N/A , N/A",https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,,,,,Report,,Prevention,"County Officials,State Officials,Federal Officials",,,Policy,,REJECTED
160,Integrate data,Other,"Support inclusion of public health, health care and criminal justice data to address crisis. N/A , N/A","Support inclusion of public health, health care and criminal justice data to address crisis. N/A , N/A",https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,,,,,Report,,Prevention,"Health Care Providers,Police,Correctional Institutions",,,"Policy,Epidemiological Surveillance",General,REJECTED
162,Research for naloxone distribution,Community Distribution of Naloxone,"Work with scientific community to assess research needs for naloxone distribution, evaluations and identify where to target future research. N/A , N/A","Work with scientific community to assess research needs for naloxone distribution, evaluations and identify where to target future research. N/A , N/A",https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,,,,,Report,,,,,,,,REJECTED
163,Monitoring chronic pain opioid users,Other,"Improve oversight and management of those prescribed opioids for chronic non-cancer pain. N/A , N/A","Improve oversight and management of those prescribed opioids for chronic non-cancer pain. N/A , N/A",https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,,,,,Report,,Prevention,Health Care Providers,,,"Policy,Epidemiological Surveillance,Prescription Drug Epidemiological Surveillance Program",General,REJECTED
164,Development of abuse-deterring formulations of opioids,Other,"Work with stakeholders to identify opportunities for development and evaluation of abuse-deterrent formulations of opioids. N/A , N/A","Work with stakeholders to identify opportunities for development and evaluation of abuse-deterrent formulations of opioids. N/A , N/A",https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,,,,,Report,,Prevention,Health Care Providers,,,,General,REJECTED
165,Evaluated expanding access of naloxone,Community Distribution of Naloxone,"Assess effects of state laws on expanding access to Naloxone to the general public. N/A , N/A","Assess effects of state laws on expanding access to Naloxone to the general public. N/A , N/A",https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,,,,,Report,,Harm Reduction,"State Officials,Federal Officials",,,"Naloxone,Policy",General,REJECTED
166,Easier to use naloxone,Other,"Partner with developers to create naloxone formulations that are easier to use by non-medical personnel and less costly. N/A , N/A","Partner with developers to create naloxone formulations that are easier to use by non-medical personnel and less costly. N/A , N/A",https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,,,,,Report,,Harm Reduction,Health Care Providers,,,Naloxone,General,REJECTED
167,Integration of PDMP into EMRs,Integration of PDMP and EHR,"Work with industry professionals and lawmakers to improve integration of PDMP into EMRs. N/A , N/A","Work with industry professionals and lawmakers to improve integration of PDMP into EMRs. N/A , N/A",https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,,,,,Report,,Prevention,"Health Care Providers,State Officials",,,"Epidemiological Surveillance,Prescription Drug Epidemiological Surveillance Program",General,REJECTED
168,Improve PDMP access,Prescription Drug Monitoring Programs,"Work with state health leadership to create or improve PDMP access across state lines. N/A , N/A","Work with state health leadership to create or improve PDMP access across state lines. N/A , N/A",https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,,,,,Report,,Prevention,"Health Care Providers,State Officials",,,"Policy,Epidemiological Surveillance,Prescription Drug Epidemiological Surveillance Program",General,REJECTED
